date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:02:28	1215989/1215989	---MCZ	200	added ('OK')	text/html	etag:W/%22127bca-pDDWCRF5hpoSCxcZu/ywjvK3Oa4%22	https://larepublica.pe/	C:/My%20Web%20Sites/magali/larepublica.pe/index.html	(from )
02:02:29	480/480	---M-Z	200	added ('OK')	text/plain	etag:W/%22b8f-yKUwFhlyMH4kKLqByftLw3fBQlw%22	https://larepublica.pe/robots.txt		(from )
02:02:29	21825/21825	---M--	200	added ('OK')	image/jpeg	etag:%2251ee5e330379caa5e665bb8316d76e2a1e2e2ac0%22	https://larepublica.pe/resizer/Y55aBbdBs-Ql3_72SNVUu1S0QkQ=/1200x660/top/cloudfront-us-east-1.images.arcpublishing.com/gruporepublica/XJYRXUSSBJBGXDPGZ4LVC5WI24.png	C:/My%20Web%20Sites/magali/larepublica.pe/resizer/Y55aBbdBs-Ql3_72SNVUu1S0QkQ=/1200x660/top/cloudfront-us-east-1.images.arcpublishing.com/gruporepublica/XJYRXUSSBJBGXDPGZ4LVC5WI24.jpg	(from https://larepublica.pe/)
02:02:30	2780/2780	---M--	200	added ('OK')	image/png	etag:%22ef3421db4d9e5b18dce134eae25e5433%22	https://cdn.larepublica.pe/apple-touch-icon.png	C:/My%20Web%20Sites/magali/cdn.larepublica.pe/apple-touch-icon.png	(from https://larepublica.pe/)
02:02:30	574/574	---M--	200	added ('OK')	image/png	etag:%227a5001c5e7c0e7c15a575bc99c0a585f%22	https://cdn.larepublica.pe/favicon-32x32.png	C:/My%20Web%20Sites/magali/cdn.larepublica.pe/favicon-32x32.png	(from https://larepublica.pe/)
02:02:30	340/340	---M--	200	added ('OK')	image/png	etag:%22a3e61c2cf4a7185825bd1994b911cb8a%22	https://cdn.larepublica.pe/favicon-16x16.png	C:/My%20Web%20Sites/magali/cdn.larepublica.pe/favicon-16x16.png	(from https://larepublica.pe/)
02:02:30	879/879	---M-Z	200	added ('OK')	application/json	etag:W/%22726ccae93736bdd368a20d6859fddd44%22	https://larepublica.pe/pf/resources/manifest.json?d=2131	C:/My%20Web%20Sites/magali/larepublica.pe/pf/resources/manifest559d.json	(from https://larepublica.pe/)
02:02:30	275301/275301	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ebd1286d0af1c8cdfe8aee6225809828%22	https://larepublica.pe/pf/dist/engine/react.js?d=2131	C:/My%20Web%20Sites/magali/larepublica.pe/pf/dist/engine/react559d.js	(from https://larepublica.pe/)
02:02:31	1759429/1759429	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a10761b402228adea6cdef1bea79d79c%22	https://larepublica.pe/pf/dist/components/combinations/default.js?d=2131	C:/My%20Web%20Sites/magali/larepublica.pe/pf/dist/components/combinations/default559d.js	(from https://larepublica.pe/)
02:02:31	18317/18317	---M-Z	200	added ('OK')	text/css	etag:W/%221b4efd38293388febed9f6bf18404b0e%22	https://larepublica.pe/pf/resources/dist/gruporepublica/css/style.css?d=2131	C:/My%20Web%20Sites/magali/larepublica.pe/pf/resources/dist/gruporepublica/css/style559d.css	(from https://larepublica.pe/)
02:02:31	7771/7771	---M--	200	added ('OK')	application/javascript	etag:%22b80e49640d4794d4333d00db76ea22f7%22	https://cdn.larepublica.pe/lazysizes/lazysizes.min.js	C:/My%20Web%20Sites/magali/cdn.larepublica.pe/lazysizes/lazysizes.min.js	(from https://larepublica.pe/)
